SeniorCitizen,Tenure,MonthlyCharges,InternetService,TechSupport,Contract,PaymentMethod,NumComplaints,AvgDailyUsageHours,TotalCharges
0,54,113.11,No,No,Month-to-month,Credit card (automatic),0,0.38,6100.44
1,35,95.61,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,0.43,3381.36
0,36,137.87,DSL,No,Month-to-month,Bank transfer (automatic),0,1.73,5028.12
0,13,102.28,Fiber optic,Yes,One year,Mailed check,0,1.94,1276.9
0,26,137.06,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.37,3549.2
0,30,26.89,DSL,Yes,Month-to-month,Electronic check,0,0.41,759.15
0,43,36.68,DSL,No,Month-to-month,Mailed check,0,0.59,1598.88
1,67,74.18,Fiber optic,No,Month-to-month,Electronic check,0,0.85,4999.13
0,47,66.19,DSL,No,Month-to-month,Mailed check,0,3.74,3066.56
0,56,113.93,Fiber optic,No,Month-to-month,Credit card (automatic),1,0.04,6312.74
0,21,39.27,Fiber optic,No,Month-to-month,Bank transfer (automatic),1,1.52,912.44
1,3,137.13,Fiber optic,Yes,Month-to-month,Mailed check,1,2.97,413.32
0,71,57.81,Fiber optic,Yes,One year,Electronic check,0,1.93,4109.25
0,45,71.47,Fiber optic,Yes,One year,Credit card (automatic),2,0.37,3156.43
0,58,52.97,DSL,Yes,Month-to-month,Credit card (automatic),0,0.97,3063.84
0,33,89.52,DSL,Yes,Month-to-month,Credit card (automatic),0,3.62,2918.99
0,10,27.04,DSL,No,Month-to-month,Electronic check,0,0.18,240.68
0,30,37.96,DSL,Yes,Month-to-month,Mailed check,0,6.57,1090.72
0,10,109.5,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,0.23,1152.0
0,55,42.38,Fiber optic,No,Month-to-month,Bank transfer (automatic),0,0.23,2295.34
0,37,48.26,Fiber optic,No,One year,Electronic check,0,2.51,1828.33
0,20,115.16,No,Yes,Month-to-month,Bank transfer (automatic),1,2.64,2241.95
0,9,31.2,No,No,One year,Mailed check,0,0.06,350.45
0,25,72.5,No,No,One year,Electronic check,1,0.28,1820.12
0,7,22.77,No,No,One year,Electronic check,0,4.45,192.35
0,7,61.62,Fiber optic,No,Two year,Mailed check,0,0.49,346.72
0,59,103.88,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.02,6160.42
0,71,30.81,DSL,Yes,Month-to-month,Mailed check,0,0.44,2296.64
0,33,126.6,Fiber optic,Yes,One year,Mailed check,0,1.99,4186.11
0,15,129.14,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,3.72,2064.7
0,12,32.6,Fiber optic,No,Two year,Bank transfer (automatic),0,0.25,300.9
0,21,138.89,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,0.38,2868.07
0,26,55.7,Fiber optic,Yes,Month-to-month,Credit card (automatic),0,0.87,1469.16
1,63,30.09,Fiber optic,No,One year,Mailed check,0,2.07,1847.15
1,1,20.61,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),1,1.61,128.37
0,25,69.02,Fiber optic,No,Month-to-month,Credit card (automatic),0,0.6,1672.07
0,68,95.58,No,No,Two year,Bank transfer (automatic),0,0.1,6536.67
0,29,59.86,No,Yes,Month-to-month,Mailed check,0,0.44,1700.79
0,7,120.41,Fiber optic,Yes,Month-to-month,Mailed check,0,0.37,744.69
0,37,105.99,DSL,No,Month-to-month,Mailed check,0,0.03,3914.28
0,60,62.02,No,No,Month-to-month,Electronic check,0,5.54,3703.62
0,64,108.12,DSL,No,Month-to-month,Mailed check,0,0.44,6939.62
0,66,132.86,No,No,Month-to-month,Mailed check,0,2.72,8810.8
1,45,31.17,DSL,No,Month-to-month,Bank transfer (automatic),0,0.99,1366.11
0,71,56.73,Fiber optic,No,Two year,Electronic check,0,5.38,4070.78
0,42,75.6,Fiber optic,No,One year,Bank transfer (automatic),0,0.24,3177.41
0,58,79.76,Fiber optic,No,One year,Credit card (automatic),0,0.18,4583.62
0,45,85.06,Fiber optic,Yes,Month-to-month,Credit card (automatic),0,0.0,3793.05
0,71,56.08,Fiber optic,No,Month-to-month,Electronic check,1,1.9,3982.83
0,34,100.07,Fiber optic,No,One year,Mailed check,1,0.55,3424.74
1,38,97.41,DSL,Yes,One year,Electronic check,0,3.06,3695.54
0,50,89.34,Fiber optic,No,Month-to-month,Mailed check,0,1.51,4455.19
1,3,33.65,DSL,No,Month-to-month,Credit card (automatic),0,1.29,62.04
1,50,77.24,Fiber optic,No,Month-to-month,Credit card (automatic),0,1.0,3865.06
0,4,62.75,DSL,No,Month-to-month,Electronic check,1,0.45,262.29
1,54,78.92,Fiber optic,No,One year,Bank transfer (automatic),0,0.1,4358.36
0,19,130.62,Fiber optic,No,Month-to-month,Credit card (automatic),1,0.88,2433.46
0,23,77.66,DSL,No,Month-to-month,Electronic check,0,0.16,1850.21
0,35,21.68,Fiber optic,No,One year,Electronic check,0,3.54,795.32
0,33,72.66,Fiber optic,No,Month-to-month,Credit card (automatic),1,2.65,2390.95
0,53,118.48,No,No,One year,Mailed check,0,1.45,6373.51
0,33,113.61,No,No,Two year,Bank transfer (automatic),1,0.9,3743.46
0,16,81.61,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),0,0.91,1318.37
0,4,49.97,Fiber optic,No,One year,Mailed check,0,0.94,180.99
0,17,75.81,Fiber optic,No,Month-to-month,Credit card (automatic),0,2.05,1321.85
